City,Figure,Per capita,Date,Source,Notes
Amsterdam,35 ,,2013,Trade Association for Horeca and Catering,
Austin,61 ,,2018,Nightlife - Austin,
Bogotá,327 ,,2016,Asociación de Bares de Colombia - Asobares,
Brussels,34 ,,2015,VisitBrussels / agendas,
Buenos Aires,148 ,,2016,Ministerio de Justicia y Seguridad- Agencia Gubernamental de Control,
Cape Town,89 ,,2018,Vibescount,
Chengdu,102 ,,2017,Chengdu Culture; Broadcasting; Television; Press and Publication Bureau,
Edinburgh,28 ,,2015,Edinburgh Guide website,
Helsinki,60 ,,2018,Yelp,
Hong Kong,104 ,,2017,"Food and Environmental Hygiene Department, Home Affairs Department",
Istanbul,106 ,,2015,Online resources,
Johannesburg,130 ,,2012,VANSA,
Lisbon,55 ,,2018,Câmara Municipal de Lisboa,
London,339 ,,2015,Yell,
Los Angeles,770 ,,2018,Citysearch/Yelp,
Madrid,212 ,,2014,"Departamento de Datos Estadísticos, Dirección General de Estadística, Ayuntamiento de Madrid",
Melbourne,112 ,,2018,Yellow Pages,
Milan,316 ,,2017,Comune di Milano - Commercio & Camera di Commercio di Milano,
Montréal,98 ,,2016,Tourisme Montreal Web site,
Moscow,218 ,,2018,2GIS,
New York,498 ,,2015,Citysearch,
Oslo,60 ,,2018,Næringsetaten,
Paris,173 ,,2018,Pages jaunes,
Rome,170 ,,2017,CONFCOMMERCIO ROMA,
San Francisco,136 ,,2015,Citysearch / Yelp,
Seoul,154 ,,2016,Statistics Korea,Census on establishement
Shanghai,"1,330 ",,2014,2014 Shanghai Municipal Culture and Heritage Statistics,
Shenzhen,128 ,,2018,Dianping.com,
Singapore,57 ,,2016,Eguide Singapore Business Directory,
Sydney,169 ,,2018,APRA AMSCO,
Tokyo,93 ,,2018,nightclub Navi,
Toronto,483 ,,2018,Toronto Employment Survey - 2017,